TRADEDATE,CLOSE,EMA_12,EMA_26,MACD,MACD_signal,RSI,ADX,Stoch_K,Stoch_D,ATR,Signal
2024-10-07,193.67,,,,,,0.0,,,0.0,HOLD
2024-10-08,191.92,,,,,,0.0,,,0.0,HOLD
2024-10-09,192.0,,,,,,0.0,,,0.0,HOLD
2024-10-10,188.83,,,,,,0.0,,,0.0,HOLD
2024-10-11,183.89,,,,,,0.0,,,0.0,HOLD
2024-10-14,185.0,,,,,,0.0,,,0.0,HOLD
2024-10-15,189.82,,,,,,0.0,,,0.0,HOLD
2024-10-16,187.03,,,,,,0.0,,,0.0,HOLD
2024-10-17,181.31,,,,,,0.0,,,0.0,HOLD
2024-10-18,172.11,,,,,,0.0,,,0.0,HOLD
2024-10-21,166.48,,,,,,0.0,,,0.0,HOLD
2024-10-22,163.88,179.9796936782552,,,,,0.0,,,0.0,HOLD
2024-10-23,159.15,176.77512542006207,,,,,0.0,,,0.0,HOLD
2024-10-24,163.66,174.7574138169756,,,,21.987251103115753,0.0,13.064889918887582,,3.6464285714285722,HOLD
2024-10-25,162.19,172.8239655374409,,,,21.07356316233198,0.0,9.254185692541835,,3.490969387755103,HOLD
2024-10-28,159.65,170.79720160860384,,,,19.56098203882199,0.0,1.5220700152207005,7.947048542216706,3.423043002915452,HOLD
2024-10-29,167.6,170.3053244380494,,,,35.230898199106804,0.0,27.551353113791954,12.77586960718483,3.746397074135776,HOLD
2024-10-30,162.71,169.1368129860418,,,,31.204279663764638,0.0,11.607433974567995,13.56028570119355,3.828082997411791,HOLD
2024-10-31,161.74,167.99884175741997,,,,30.460571784444653,0.0,8.444734268014361,15.867840452124772,3.6239342118823776,HOLD
2024-11-01,162.37,167.13286610243227,,,,31.600802474717526,0.0,10.498858819693512,10.183675687425291,3.410081768176493,HOLD
2024-11-02,164.19,166.68011747128884,,,,34.92066601262508,0.0,18.07747489239596,12.340355993367945,3.296504499021029,HOLD
2024-11-05,161.94,165.95086862955208,,,,32.80107019865889,0.0,12.590252707581193,13.722195473223556,3.221754177662384,HOLD
2024-11-06,163.67,165.59996576346714,,,,36.01683672995906,0.0,34.87654320987638,21.848090269951182,3.115200307829356,HOLD
2024-11-07,167.1,165.83074026139525,,,,41.9483985310701,0.0,94.08284023668638,47.183212051381325,3.1376860001272595,HOLD
2024-11-08,169.3,166.3644725288729,,,,45.44201267382192,0.0,100.0,76.31979448218759,3.070708428689599,HOLD
2024-11-11,172.94,167.37609213981554,172.08311325329382,-4.707021113478277,,50.72578210276335,0.0,99.99999999999999,98.02761341222879,3.1113721123546267,HOLD
2024-11-12,171.01,167.9351548875362,172.00362338267945,-4.068468495143236,,48.0676357576631,0.0,85.47780285929265,95.15926761976421,3.026988390043582,HOLD
2024-11-13,167.04,167.79743875099217,171.63594757655505,-3.838508825562883,,43.06816136393321,35.441690782288156,55.60571858540249,80.36117381489838,3.0943463621833263,HOLD
2024-11-14,163.2,167.09014048160876,171.0110625708843,-3.9209220892755354,,38.858186383931,34.90325858521116,26.711813393528857,55.93177827940801,3.147607336313089,HOLD
2024-11-15,169.06,167.39319579213048,170.86653941748546,-3.473343625354971,,47.320949705571536,33.287439640238475,65.35714285714286,49.22489161202475,3.341349669433584,HOLD
2024-11-18,164.51,166.9496272087258,170.39568464581987,-3.4460574370940833,,42.41227846105372,32.367636713809325,24.73214285714272,38.93369970260482,3.4276818359026144,HOLD
2024-11-19,159.5,165.80353071507568,169.58859689427766,-3.7850661792019764,,37.76678814580252,32.07636652601591,0.0,30.02976190476187,3.5407045619095703,HOLD
2024-11-20,158.95,164.7491413742948,168.80055267988672,-4.051411305591927,,37.28398298580414,31.865160890105034,0.0,8.244047619047583,3.3270828074874585,HOLD
2024-11-21,159.3,163.91081193209558,168.09680803693217,-4.18599610483659,-4.025887089908214,37.82866381563663,31.59649265540085,2.501786990707809,0.8339289969026126,3.11443403552407,HOLD
2024-11-22,156.16,162.71837932715778,167.21260003419647,-4.494220707038693,-4.11955381333431,34.900212679610135,31.709740391422375,0.0,0.8339289969026126,3.1162601758437805,HOLD
2024-11-25,149.5,160.68478250759503,165.90055558721895,-5.215773079623915,-4.338797666592232,29.656220380810495,32.47793547095166,0.0,0.8339289969026126,3.369384448997796,HOLD
2024-11-26,141.77,157.77481596796503,164.11310702520274,-6.338291057237711,-4.738696344721328,24.967094197896287,33.79930077730728,0.0,0.0,3.6808569883550954,HOLD
2024-11-27,140.02,155.04330581904733,162.32843243074328,-7.285126611695944,-5.2479823981162514,24.040349449524598,35.14819578302949,0.0,0.0,3.542938632044017,HOLD
2024-11-28,140.3,152.77510492380927,160.69669669513266,-7.921591771323392,-5.78270427275768,24.523086830731046,36.335705645285415,0.8505467800729077,0.28351559335764537,3.3098715868980157,HOLD
2024-11-29,140.34,150.86201185860784,159.18879323623395,-8.326781377626105,-6.291519693731366,24.5968100573363,37.4284566945509,1.0325911584381846,0.6277126461703736,3.076309330691014,HOLD
2024-12-02,148.29,150.46631772651432,158.38147521873515,-7.915157492220828,-6.616247253429259,37.635140243603054,36.66677138229681,28.47796143250683,10.120366457005984,3.424430092784512,HOLD
2024-12-03,147.5,150.00996115320442,157.57544001734735,-7.565478864142932,-6.806093575571994,36.95137425176038,36.04972136324976,25.75757575757573,18.422709449506925,3.236256514728475,HOLD
2024-12-04,143.54,149.0145825142499,156.53577779384014,-7.521195279590245,-6.949113916375644,33.650989478512116,35.91465005595029,12.121212121212062,22.118916437098218,3.2879524779621563,HOLD
2024-12-05,146.72,148.6615698197499,155.80868314244458,-7.147113322694679,-6.988713797639451,38.40841479408912,35.13174708316888,27.358105349122066,21.745631075969964,3.280241586679146,HOLD
2024-12-06,145.62,148.19363600132684,155.05396587263385,-6.860329871307016,-6.963037012372965,37.40918354549655,34.53835777543591,28.74743326488705,22.742250245073734,3.124510044773492,HOLD
2024-12-09,147.59,148.10076892419963,154.501079511698,-6.400310587498382,-6.850491727398049,40.39970064092036,33.57189742835696,39.263485477178385,31.78967469706251,3.0420450415753852,HOLD
2024-12-10,142.59,147.2529583204766,153.6187773256463,-6.365819005169698,-6.753557182952379,35.73315519265687,33.302970071934,13.329875518672162,27.113598086912543,3.1818989671771436,HOLD
2024-12-11,142.6,146.5371185788648,152.80257159782064,-6.265453018955839,-6.6559363501530715,35.74914013139019,33.05102783642399,15.985130111524079,22.85949703579155,2.9553347552359184,HOLD
2024-12-12,136.29,144.960638797501,151.57941814613022,-6.618779348629232,-6.648504949848304,30.580435590555453,33.52008156831781,0.0,9.771668543398754,3.1949537012904954,HOLD
2024-12-13,133.25,143.15900205942393,150.2216834686391,-7.062681409215173,-6.731340241721678,28.44653406397866,34.24799417767519,0.0,5.328376703841367,3.1838855797697447,HOLD
2024-12-16,128.79,140.94838635797407,148.63415135985102,-7.685765001876945,-6.922225193752732,25.621748827366673,35.312865823061536,0.0,0.0,3.275036609786192,HOLD
2024-12-17,128.96,139.10401922597805,147.17680681467687,-8.072787588698816,-7.152337672741949,25.923698187718884,36.25953553608313,0.8717948717949534,0.2905982905983249,3.0532482805157506,HOLD
2024-12-18,131.15,137.88032396044298,145.9896359395156,-8.10931197907263,-7.343732534008086,29.87328378876427,36.586572437830185,12.102564102564173,4.324786324786383,2.99158768905034,HOLD
2024-12-19,132.27,137.0171971972979,144.9733666106626,-7.956169413364705,-7.46621990987941,31.87381306582813,36.61006719218483,17.84615384615394,10.273504273504363,2.8579028541181732,HOLD
